trade_row_loc,trade_price,trade_amount,trade_total,trade_fee,trade_min_trade_penalty,trade_buy_penalty,trade_hold_penalty,trade_trend_reward,trade_reward ,overall_reward ,trade_profit,trade_type,net_worth,benchmark,Balance,crypto_holding,crypto_worth,total_fees,total_volume_traded,highest_net_worth
50,6820.035610074455,0.0,0.0,0.0,True,0,0,8.96438992554522,-1.0,0.0,0.0,sell,10000.0,0.0,10000.0,0.0,0.0,0.0,0.0,10000
51,6828.607632482454,0.0,0.0,0.0,True,0,0,0.3923675175456083,-1.0,0.0,0.0,sell,10000.0,18.157856201492905,10000.0,0.0,0.0,0.0,0.0,10000
52,6826.341897441919,0.0,0.0,0.0,True,0,0,15.058102558080463,-1.0,0.0,0.0,sell,10000.0,6.443110265045107,10000.0,0.0,0.0,0.0,0.0,10000
53,6856.639519355897,0.14582945438174783,1000.9000000000002,0.9999999999999999,0,0,0,0,-1.0,-1.0,0,buy,9999.0,26.621760140576953,8999.1,0.14582945438174783,999.9000000000002,0.9999999999999999,999.9000000000002,10000
54,6902.552803928427,0.13124650894357304,905.0300223559632,0.9059359583142775,0,0,0,0.8074985784470007,4.789573279771503,3.7895732797715027,4.220022355963124,sell,10004.789573279772,118.65573290379143,9904.130022355963,0.014582945438174788,100.65955092380865,1.9059359583142774,1905.8359583142778,10000
55,6931.773320473562,1.142126986652471,7924.888678688349,7.923304017884771,0,0,0,0,-2.7076095396623714,1.0819637401091313,0,buy,9997.292390460338,130.31190511055684,1979.2413436676143,1.1567099320906458,8018.051046792724,9.829239976199048,9822.801332984742,10004.789573279772
56,6955.0645944756825,0.9253679456725167,6429.5578419738085,6.435993835809618,0,0,0,8.576910331651035,17.79764459382568,18.87960833393481,9.574899023129547,sell,10017.797644593826,201.93293307951353,8408.799185641423,0.2313419864181291,1608.9984589524038,16.265233812008667,16258.79516879436,10004.789573279772
57,7007.619673296877,0.02313419864181291,161.95354986279773,0.16211566552832604,0,0,0,8.478153096117257,29.7937252591546,48.67333359308941,1.4539762890307202,sell,10029.793725259155,278.2105725582078,8570.75273550422,0.20820778777631618,1459.0409897549343,16.427349477536993,16420.910834322687,10017.797644593826
58,7155.070261646911,0.9575191655875794,6857.973508841057,6.856602188403376,0,0,0,0,53.63748387742817,102.31081747051758,0,buy,10053.637483877428,458.83731146580794,1712.7792266631632,1.1657269533638956,8340.858257214264,23.283951665940368,23272.02774097534,10029.793725259155
59,7102.391889460967,0.19276987582972918,1370.4974260067968,1.3702233813305307,0,0,0,0,-9.141337820392437,93.16947965012514,0,buy,9990.858662179608,384.6683262556744,342.2818006563664,1.3584968291936248,9648.576861523241,24.654175047270897,24641.154943600806,10053.637483877428
60,7084.988045246855,0.0,0.0,0.0,True,0,0,-9.104584281545934,-33.784405001042614,60.385074649082526,0.0,sell,9967.215594998957,392.7807878166641,342.2818006563664,1.3584968291936248,9624.93379434259,24.654175047270897,24641.154943600806,10053.637483877428
