trade_row_loc,original_price,moving_avg,trade_price,avg_buy_price,trade_slippage,trade_amount,trade_total,trade_fee,trade_profit,trade_type,trade_hold_penalty,trend_reward,extra_reward,overall_reward ,net_worth,benchmark,total_fees,Balance,crypto_holding,crypto_worth,total_volume_traded,highest_net_worth
50,6980.0,6944.127738,6980.0,0,0.0014192946893921779,0,0,0,0,hold,0,1,0,1,10000.0,0.0,0,10000,0,0.0,0,10000
51,6999.0,6945.163512,6999.0,0,0.001502194853215244,0,0,0,0,hold,0,1,0,2,10000.0,27.22063037249245,0,10000,0,0.0,0,10000
52,6999.99,6946.264643,6999.99,0,0.0019437519666989371,0,0,0,0,hold,0,1,0,3,10000.0,28.63896848137483,0,10000,0,0.0,0,10000
53,6994.42,6946.820774,6994.42,0,0.0015516371256714795,0,0,0,0,hold,0,1,0,4,10000.0,20.65902578796522,0,10000,0,0.0,0,10000
54,6947.01,6947.244405,6947.01,0,0.0012768869133828206,0,0,0,0,hold,0,1,0,5,10000.0,-47.26361031518536,0,10000,0,0.0,0,10000
55,6992.0,6948.274167,6992.0,0,0.001959846077099828,0,0,0,0,hold,0,1,0,6,10000.0,17.191977077363845,0,10000,0,0.0,0,10000
56,7027.0,6949.619702,7027.0,0,0.0018992415976543814,0,0,0,0,hold,0,1,0,7,10000.0,67.3352435530087,0,10000,0,0.0,0,10000
57,7018.0,6950.839881,7018.0,0,0.0017898840893254566,0,0,0,0,hold,0,1,0,8,10000.0,54.44126074498672,0,10000,0,0.0,0,10000
58,7060.0,6951.296071,7060.0,0,0.0017959662586158423,0,0,0,0,hold,0,1,0,9,10000.0,114.61318051576018,0,10000,0,0.0,0,10000
59,7120.0,6952.487024,7120.0,0,0.0010572744252332457,0,0,0,0,hold,0,1,0,10,10000.0,200.5730659025794,0,10000,0,0.0,0,10000
60,7104.66,6953.294524,7104.66,0,0.001947852373169609,0,0,0,0,hold,0,1,0,11,10000.0,178.59598853868192,0,10000,0,0.0,0,10000
61,7131.85,6954.194107,7131.85,0,0.0011255616789759301,0,0,0,0,hold,0,1,0,12,10000.0,217.55014326647688,0,10000,0,0.0,0,10000
62,7139.92,6955.728274,7139.92,0,0.0010222438326965577,0,0,0,0,hold,0,1,0,13,10000.0,229.1117478510023,0,10000,0,0.0,0,10000
63,7113.94,6957.049345,7113.94,0,0.001313075087477866,0,0,0,0,hold,0,1,0,14,10000.0,191.89111747850984,0,10000,0,0.0,0,10000
64,7120.0,6958.477917,7120.0,0,0.001731962391633055,0,0,0,0,hold,0,1,0,15,10000.0,200.5730659025794,0,10000,0,0.0,0,10000
65,7125.0,6958.863512,7125.0,0,0.001779528795871634,0,0,0,0,hold,0,1,0,16,10000.0,207.73638968481464,0,10000,0,0.0,0,10000
66,7167.0,6959.500179,7167.0,0,0.0018008041322644104,0,0,0,0,hold,0,1,0,17,10000.0,267.9083094555881,0,10000,0,0.0,0,10000
67,7076.0,6959.577798,7076.0,0,0.0013300169949182078,0,0,0,0,hold,0,1,0,18,10000.0,137.53581661891076,0,10000,0,0.0,0,10000
68,6782.0,6957.88756,6782.0,0,0.0012906949584210875,0,0,0,0,hold,0,1,0,19,10000.0,-283.66762177650344,0,10000,0,0.0,0,10000
69,6745.0,6956.095833,6745.0,0,0.0016884287183733938,0,0,0,0,hold,0,1,0,20,10000.0,-336.6762177650435,0,10000,0,0.0,0,10000
70,6740.0,6954.60619,6740.0,0,0.0010588427230211754,0,0,0,0,hold,0,1,0,21,10000.0,-343.8395415472769,0,10000,0,0.0,0,10000
71,6730.88,6952.93881,6730.88,0,0.001299923188317887,0,0,0,0,hold,0,1,0,22,10000.0,-356.90544412607414,0,10000,0,0.0,0,10000
72,6731.27,6951.89875,6731.27,0,0.001115430312246014,0,0,0,0,hold,0,1,0,23,10000.0,-356.34670487105905,0,10000,0,0.0,0,10000
73,6738.98,6950.221726,6738.98,0,0.0015264400405907413,0,0,0,0,hold,0,1,0,24,10000.0,-345.300859598854,0,10000,0,0.0,0,10000
74,6754.97,6948.678393,6754.97,0,0.0016431688978164063,0,0,0,0,hold,0,1,0,25,10000.0,-322.3925501432659,0,10000,0,0.0,0,10000
75,6746.0,6947.298929,6746.0,0,0.0010347593070761975,0,0,0,0,hold,0,1,0,26,10000.0,-335.243553008595,0,10000,0,0.0,0,10000
76,6750.01,6945.930595,6750.01,0,0.0014586847720577066,0,0,0,0,hold,0,1,0,27,10000.0,-329.49856733524393,0,10000,0,0.0,0,10000
77,6672.08,6944.039405,6672.08,0,0.0013043827400969336,0,0,0,0,hold,0,1,0,28,10000.0,-441.146131805157,0,10000,0,0.0,0,10000
78,6671.09,6942.391905,6671.09,0,0.0014310815112714185,0,0,0,0,hold,0,1,0,29,10000.0,-442.56446991403936,0,10000,0,0.0,0,10000
79,6723.67,6940.858036,6723.67,0,0.0012751738104525496,0,0,0,0,hold,0,1,0,30,10000.0,-367.23495702005675,0,10000,0,0.0,0,10000
80,6693.0,6938.846131,6693.0,0,0.0018163860072125393,0,0,0,0,hold,0,1,0,31,10000.0,-411.1747851002856,0,10000,0,0.0,0,10000
81,6782.72,6937.219464,6782.72,0,0.0010014530602118225,0,0,0,0,hold,0,1,0,32,10000.0,-282.6361031518627,0,10000,0,0.0,0,10000
82,6765.61,6935.65756,6765.61,0,0.0014635816702635437,0,0,0,0,hold,0,1,0,33,10000.0,-307.14899713467094,0,10000,0,0.0,0,10000
83,6740.11,6933.955833,6740.11,0,0.0017074032446635684,0,0,0,0,hold,0,1,0,34,10000.0,-343.68194842406956,0,10000,0,0.0,0,10000
84,6750.17,6931.456905,6750.17,0,0.0011953402315603425,0,0,0,0,hold,0,1,0,35,10000.0,-329.26934097421145,0,10000,0,0.0,0,10000
